unit,mean,std,n,individual_ratings,item_type
What did Christopher fuss that Robert took?,3.24,1.709,50,"[3, 4, 1, 2, 3, 5, 5, 6, 1, 1, 1, 3, 3, 2, 3, 4, 7, 2, 4, 4, 5, 2, 2, 1, 1, 2, 6, 2, 3, 1, 5, 7, 4, 4, 2, 3, 5, 4, 3, 4, 1, 5, 5, 1, 3, 1, 4, 2, 4, 6]",test
What did Christopher justify that John wrote?,3.8,1.8295,50,"[4, 4, 7, 5, 3, 5, 7, 4, 1, 1, 5, 5, 5, 1, 5, 2, 4, 7, 5, 7, 3, 5, 2, 3, 2, 3, 5, 1, 1, 4, 1, 2, 6, 4, 3, 3, 5, 3, 2, 3, 4, 2, 5, 1, 6, 3, 5, 6, 3, 7]",test
What did Christopher weep that Linda wrote?,2.2041,1.5135,49,"[1, 1, 4, 1, 2, 4, 3, 4, 1, 1, 1, 2, 2, 2, 2, 1, 3, 1, 6, 3, 3, 1, 1, 1, 2, 4, 2, 1, 1, 1, 7, 4, 3, 1, 1, 1, 2, 1, 1, 1, 1, 5, 1, 3, 1, 4, 1, 4, 4]",test
What did Daniel call that Barbara wrote?,1.84,1.3756,50,"[3, 1, 2, 1, 2, 3, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 5, 1, 2, 6, 1, 1, 4, 1, 1, 1, 1, 2, 1, 1, 1, 5, 4, 1, 2, 2, 2, 1, 6, 4]",test
What did Daniel grouse that Barbara took?,3.1,2.0025,50,"[2, 3, 1, 4, 3, 5, 5, 4, 1, 1, 1, 6, 2, 1, 2, 1, 4, 1, 6, 6, 3, 2, 1, 3, 1, 6, 4, 1, 5, 7, 1, 7, 1, 1, 3, 5, 1, 5, 5, 1, 2, 4, 6, 1, 6, 1, 1, 5, 3, 4]",test
What did Daniel guarantee that Nancy would write?,5.449,1.6716,49,"[5, 6, 1, 7, 5, 6, 6, 6, 2, 1, 7, 7, 5, 7, 2, 7, 7, 7, 6, 4, 4, 7, 6, 6, 7, 5, 5, 4, 7, 7, 6, 7, 7, 7, 6, 7, 4, 6, 6, 4, 3, 5, 6, 7, 3, 5, 7, 5, 4]",test
What did Daniel pretend that Nancy stole?,5.4694,1.647,49,"[5, 6, 2, 5, 6, 7, 7, 5, 1, 4, 5, 7, 6, 7, 5, 5, 7, 7, 7, 5, 4, 7, 3, 6, 5, 6, 5, 4, 7, 7, 7, 7, 5, 7, 7, 7, 5, 5, 7, 4, 5, 6, 1, 7, 2, 5, 7, 7, 4]",test
What did Daniel witness that Susan stole?,5.24,1.6233,50,"[6, 6, 4, 3, 5, 7, 7, 6, 1, 6, 7, 5, 6, 7, 2, 5, 5, 7, 5, 7, 5, 3, 2, 5, 3, 7, 6, 4, 3, 7, 7, 7, 6, 3, 7, 6, 6, 6, 5, 6, 3, 7, 4, 4, 7, 4, 7, 5, 6, 4]",test
What did David advise that James would write?,4.9,1.7291,50,"[5, 5, 1, 4, 5, 6, 6, 6, 2, 5, 7, 7, 3, 7, 5, 6, 7, 6, 5, 4, 3, 5, 6, 7, 6, 3, 5, 1, 5, 7, 3, 7, 4, 7, 5, 5, 7, 5, 3, 2, 3, 6, 5, 1, 5, 4, 7, 4, 5, 7]",test
What did David beam that Mary took?,2.12,1.5205,50,"[2, 1, 2, 1, 3, 2, 1, 4, 1, 1, 1, 1, 2, 1, 3, 1, 1, 2, 3, 4, 3, 2, 1, 4, 1, 2, 5, 1, 1, 1, 6, 5, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 6, 1, 5, 1, 2, 1, 4, 5]",test
What did David envy that William took?,4.56,1.7861,50,"[2, 3, 5, 5, 4, 4, 7, 3, 5, 1, 6, 7, 7, 5, 4, 7, 4, 7, 6, 4, 2, 5, 5, 5, 3, 7, 5, 4, 5, 7, 7, 7, 6, 6, 5, 1, 3, 5, 3, 3, 2, 3, 4, 2, 6, 1, 6, 3, 5, 6]",test
What did David guarantee that Christopher would take?,5.72,1.2784,50,"[5, 6, 5, 5, 5, 7, 6, 7, 3, 5, 7, 7, 5, 5, 6, 6, 7, 7, 7, 4, 4, 6, 7, 6, 7, 7, 6, 5, 7, 7, 7, 7, 7, 7, 7, 6, 4, 5, 7, 3, 3, 6, 5, 5, 7, 4, 5, 6, 3, 5]",test
What did Elizabeth attest that Richard took?,4.8333,1.7544,48,"[5, 5, 3, 5, 3, 7, 7, 6, 3, 1, 7, 7, 5, 3, 3, 5, 7, 7, 5, 7, 5, 7, 4, 5, 7, 5, 4, 3, 7, 1, 7, 5, 4, 7, 5, 4, 6, 6, 2, 3, 5, 2, 7, 3, 4, 5, 3, 5]",test
What did Elizabeth opine that Daniel stole?,2.98,1.857,50,"[2, 3, 3, 4, 2, 6, 5, 4, 1, 4, 1, 7, 2, 1, 1, 3, 1, 3, 5, 2, 5, 3, 1, 4, 1, 3, 5, 2, 3, 7, 1, 5, 1, 1, 7, 2, 1, 3, 5, 3, 3, 1, 6, 1, 1, 1, 1, 3, 5, 4]",test
What did Elizabeth rejoice that Robert took?,2.94,1.8671,50,"[3, 1, 2, 4, 3, 7, 1, 3, 1, 1, 7, 4, 3, 1, 2, 4, 1, 1, 5, 4, 5, 2, 2, 3, 6, 6, 4, 2, 3, 7, 4, 6, 4, 2, 1, 1, 2, 4, 1, 2, 1, 1, 6, 1, 1, 1, 4, 2, 3, 2]",test
What did Elizabeth sneer that Robert wrote?,2.24,1.5328,50,"[1, 4, 2, 2, 2, 3, 1, 3, 1, 1, 7, 3, 3, 1, 2, 1, 1, 1, 5, 5, 3, 2, 1, 3, 1, 2, 4, 1, 2, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 3, 5, 1, 3, 1, 3, 1, 5, 6]",test
What did Elizabeth voice that Nancy stole?,3.84,1.8111,50,"[2, 5, 4, 2, 3, 6, 2, 6, 1, 1, 7, 4, 2, 7, 3, 1, 6, 6, 6, 4, 4, 3, 4, 2, 1, 3, 4, 2, 2, 2, 2, 5, 3, 6, 6, 5, 3, 4, 5, 3, 1, 5, 5, 2, 6, 3, 6, 6, 6, 5]",test
What did James agonize that Joseph stole?,3.18,1.924,50,"[3, 7, 2, 1, 2, 6, 6, 6, 2, 1, 7, 3, 3, 1, 3, 4, 2, 2, 4, 6, 3, 2, 3, 4, 6, 3, 4, 2, 2, 6, 1, 7, 2, 1, 2, 2, 1, 2, 4, 2, 1, 3, 4, 1, 5, 1, 2, 1, 7, 4]",test
What did James answer that Mary stole?,3.94,2.1984,50,"[3, 6, 1, 5, 2, 5, 7, 6, 1, 1, 7, 6, 1, 1, 3, 2, 1, 7, 4, 7, 6, 3, 2, 5, 1, 6, 6, 2, 7, 7, 2, 7, 3, 6, 5, 3, 3, 2, 6, 1, 2, 3, 6, 1, 6, 1, 4, 5, 6, 4]",test
What did James call that Karen took?,2.1,1.5286,50,"[1, 1, 2, 3, 3, 6, 1, 2, 1, 1, 1, 1, 2, 3, 1, 1, 4, 1, 2, 4, 2, 2, 1, 2, 1, 1, 4, 2, 1, 7, 1, 6, 1, 1, 1, 1, 1, 2, 1, 1, 1, 4, 5, 1, 3, 2, 2, 1, 2, 4]",test
What did James chant that Karen took?,2.84,1.6081,50,"[3, 3, 3, 2, 3, 5, 1, 5, 1, 1, 5, 3, 1, 3, 3, 1, 1, 6, 4, 4, 5, 2, 1, 4, 2, 2, 4, 2, 1, 5, 1, 7, 1, 2, 2, 1, 6, 2, 5, 1, 1, 3, 4, 2, 3, 2, 4, 2, 3, 4]",test
What did James indicate that Jennifer took?,5.68,1.5178,50,"[5, 6, 2, 4, 5, 7, 7, 6, 2, 7, 7, 7, 5, 7, 6, 6, 7, 6, 6, 7, 5, 7, 6, 6, 6, 6, 4, 4, 7, 7, 7, 7, 6, 7, 5, 6, 3, 6, 7, 4, 4, 7, 6, 6, 7, 1, 6, 7, 6, 3]",test
What did James notify that Nancy stole?,3.06,1.8889,50,"[2, 3, 1, 2, 3, 3, 1, 6, 1, 1, 4, 3, 1, 6, 1, 1, 3, 5, 6, 3, 3, 2, 2, 4, 2, 5, 6, 1, 3, 6, 6, 7, 2, 3, 1, 1, 1, 2, 3, 1, 2, 2, 4, 2, 6, 1, 2, 5, 6, 6]",test
What did James picture that Nancy took?,4.18,1.8919,50,"[3, 1, 5, 1, 5, 7, 5, 5, 1, 3, 7, 5, 2, 1, 5, 1, 7, 4, 6, 4, 5, 3, 4, 6, 2, 5, 6, 2, 3, 7, 1, 6, 5, 7, 6, 5, 3, 5, 2, 2, 2, 5, 4, 5, 6, 4, 5, 5, 7, 3]",test
What did James value that Lisa stole?,5.44,1.8201,50,"[6, 4, 2, 5, 5, 3, 7, 6, 1, 6, 7, 7, 6, 7, 6, 4, 7, 7, 6, 7, 4, 7, 5, 6, 7, 6, 5, 6, 7, 7, 5, 7, 7, 5, 6, 7, 1, 5, 7, 1, 3, 7, 4, 7, 7, 3, 5, 7, 2, 7]",test
What did Jennifer boom that James wrote?,2.18,1.4941,50,"[1, 1, 3, 3, 2, 4, 1, 2, 1, 4, 1, 1, 3, 1, 5, 1, 1, 1, 5, 4, 3, 2, 4, 5, 1, 1, 3, 1, 1, 1, 5, 3, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 4, 1, 5, 1, 1, 1, 5, 4]",test
What did Jennifer conjecture that John wrote?,3.4286,1.8143,49,"[5, 3, 1, 4, 2, 5, 3, 3, 1, 5, 7, 5, 5, 6, 3, 4, 5, 5, 7, 4, 6, 5, 3, 1, 3, 5, 2, 5, 1, 1, 2, 4, 1, 1, 2, 1, 5, 4, 3, 1, 5, 6, 1, 2, 1, 2, 3, 5, 4]",test
What did Jennifer snitch that Karen took?,4.16,1.8991,50,"[2, 4, 2, 5, 4, 2, 7, 5, 2, 3, 6, 7, 2, 4, 5, 6, 7, 7, 3, 5, 7, 2, 2, 4, 3, 5, 4, 2, 3, 5, 1, 7, 5, 7, 3, 5, 3, 4, 3, 6, 2, 7, 5, 1, 7, 2, 5, 5, 1, 4]",test
What did Jennifer yodel that Lisa wrote?,2.02,1.5318,50,"[2, 6, 1, 2, 2, 3, 1, 4, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 3, 2, 6, 3, 5, 1, 2, 2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 1, 2, 1, 1, 1, 4, 5, 1, 1, 1, 1, 3, 7]",test
What did Jessica corroborate that Richard stole?,4.72,1.7961,50,"[5, 3, 6, 5, 4, 5, 7, 4, 2, 5, 7, 7, 5, 4, 2, 4, 7, 7, 5, 6, 4, 5, 5, 5, 1, 5, 6, 5, 6, 6, 1, 7, 3, 6, 5, 1, 5, 5, 6, 3, 3, 7, 5, 1, 7, 1, 6, 4, 6, 6]",test
What did Jessica forget that Joseph stole?,5.2653,1.5516,49,"[6, 5, 2, 6, 5, 6, 6, 2, 4, 7, 7, 5, 7, 5, 4, 5, 7, 7, 7, 5, 7, 4, 3, 5, 5, 6, 2, 5, 7, 7, 7, 6, 7, 7, 7, 4, 5, 5, 4, 4, 2, 6, 6, 7, 3, 5, 6, 5, 3]",test
What did Jessica glare that Patricia took?,1.8163,1.202,49,"[1, 2, 2, 2, 3, 1, 5, 2, 1, 1, 5, 1, 2, 1, 2, 1, 1, 1, 1, 2, 3, 1, 1, 2, 1, 2, 5, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 5, 1, 3, 1, 3, 1, 1, 4]",test
What did Jessica measure that Charles stole?,2.7,1.7173,50,"[2, 1, 5, 2, 4, 2, 6, 1, 2, 1, 1, 1, 1, 5, 3, 1, 5, 3, 1, 1, 3, 2, 5, 2, 4, 1, 2, 4, 1, 2, 5, 1, 1, 5, 4, 1, 2, 5, 2, 1, 1, 4, 4, 1, 3, 1, 3, 5, 5, 7]",test
What did Jessica opine that Karen took?,3.0,1.8516,50,"[2, 3, 2, 4, 2, 6, 6, 2, 1, 1, 1, 4, 2, 1, 1, 4, 1, 4, 5, 4, 4, 7, 1, 6, 3, 3, 5, 3, 3, 6, 1, 5, 2, 1, 5, 2, 1, 5, 5, 1, 3, 2, 6, 1, 1, 1, 1, 1, 4, 5]",test
What did Jessica panic that William would take?,3.7551,2.194,49,"[5, 3, 5, 5, 2, 2, 6, 4, 1, 2, 7, 7, 2, 6, 2, 6, 7, 5, 6, 7, 4, 1, 3, 5, 1, 3, 6, 2, 2, 7, 1, 7, 6, 5, 1, 1, 2, 6, 4, 1, 5, 6, 1, 2, 1, 2, 1, 6, 2]",test
What did Jessica relay that Robert wrote?,5.1,1.6444,50,"[4, 5, 5, 2, 4, 6, 7, 4, 2, 3, 7, 7, 5, 6, 5, 5, 7, 7, 7, 7, 5, 6, 6, 5, 5, 5, 6, 2, 6, 7, 6, 7, 5, 7, 6, 6, 4, 5, 5, 3, 3, 7, 6, 6, 7, 1, 3, 4, 2, 4]",test
What did Jessica respect that Elizabeth stole?,3.16,1.8775,50,"[3, 4, 3, 3, 2, 3, 1, 6, 1, 1, 4, 7, 3, 1, 5, 4, 5, 7, 3, 4, 2, 7, 1, 5, 1, 5, 3, 1, 2, 7, 1, 3, 3, 6, 1, 2, 1, 3, 3, 1, 1, 2, 3, 3, 2, 3, 5, 4, 6, 1]",test
What did John bark that Michael wrote?,2.46,1.6189,50,"[1, 3, 4, 1, 2, 5, 1, 4, 1, 1, 1, 3, 2, 6, 2, 1, 1, 1, 2, 4, 3, 6, 1, 4, 2, 1, 4, 1, 2, 3, 1, 1, 1, 3, 1, 3, 3, 2, 3, 2, 2, 1, 4, 1, 4, 1, 3, 1, 6, 7]",test
What did John editorialize that Karen stole?,2.56,1.6433,50,"[3, 4, 1, 1, 2, 5, 1, 5, 2, 1, 1, 4, 2, 3, 1, 1, 1, 4, 5, 4, 5, 2, 6, 5, 1, 1, 3, 1, 3, 5, 1, 2, 3, 3, 3, 1, 1, 2, 2, 1, 2, 1, 6, 1, 6, 1, 1, 2, 2, 4]",test
What did John grouse that Thomas wrote?,3.02,2.0553,50,"[3, 2, 1, 5, 2, 6, 7, 4, 1, 1, 1, 7, 2, 1, 2, 1, 1, 1, 5, 4, 5, 2, 1, 5, 1, 5, 4, 1, 2, 6, 1, 7, 1, 1, 3, 5, 1, 5, 5, 1, 2, 1, 6, 1, 4, 1, 2, 5, 5, 5]",test
What did John notify that Karen wrote?,2.58,1.6671,50,"[3, 1, 1, 4, 3, 4, 1, 3, 1, 1, 7, 4, 1, 2, 2, 2, 1, 5, 2, 3, 2, 1, 2, 3, 1, 5, 6, 3, 1, 2, 1, 5, 4, 2, 1, 1, 1, 2, 1, 3, 1, 2, 5, 1, 6, 4, 2, 2, 6, 2]",test
What did John relay that Jessica took?,4.64,1.9141,50,"[3, 3, 1, 3, 4, 7, 7, 5, 1, 5, 7, 6, 3, 4, 3, 5, 7, 7, 6, 6, 4, 6, 1, 5, 6, 7, 5, 3, 7, 6, 1, 7, 4, 7, 7, 6, 1, 5, 4, 3, 4, 5, 4, 4, 7, 2, 2, 5, 6, 5]",test
What did Joseph conjecture that Karen took?,2.98,1.8897,50,"[5, 5, 2, 3, 2, 4, 7, 4, 1, 4, 1, 2, 5, 1, 5, 1, 3, 1, 4, 5, 4, 3, 1, 5, 1, 3, 5, 3, 3, 1, 1, 7, 4, 1, 1, 1, 3, 4, 5, 2, 1, 1, 6, 1, 1, 1, 2, 1, 6, 6]",test
What did Joseph daydream that Patricia took?,4.24,1.8578,50,"[3, 3, 5, 4, 3, 7, 5, 5, 1, 4, 1, 3, 3, 6, 6, 6, 7, 1, 6, 4, 4, 5, 6, 5, 6, 3, 4, 2, 2, 7, 6, 7, 1, 7, 7, 3, 4, 3, 4, 3, 1, 6, 5, 4, 2, 2, 6, 6, 3, 5]",test
What did Joseph glare that Sarah wrote?,1.7843,1.3463,51,"[2, 1, 1, 2, 1, 3, 1, 1, 2, 1, 1, 5, 1, 2, 1, 1, 1, 1, 1, 3, 2, 3, 2, 1, 3, 1, 2, 3, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 4, 1, 3, 1, 3, 1, 1, 6]",test
What did Joseph grant that Lisa wrote?,2.3878,1.32,49,"[2, 3, 4, 4, 2, 5, 2, 4, 1, 1, 1, 3, 2, 1, 3, 1, 3, 1, 4, 3, 3, 2, 3, 3, 1, 3, 4, 1, 2, 1, 1, 2, 3, 1, 2, 3, 4, 2, 1, 1, 1, 5, 1, 3, 1, 2, 1, 6, 4]",test
What did Joseph justify that Jennifer took?,3.56,1.8969,50,"[3, 5, 1, 2, 3, 3, 7, 4, 1, 1, 4, 5, 5, 5, 3, 3, 3, 7, 6, 7, 5, 3, 1, 3, 1, 6, 5, 4, 1, 4, 5, 7, 2, 4, 1, 3, 4, 1, 2, 4, 2, 3, 4, 1, 7, 1, 6, 2, 5, 3]",test
What did Joseph like that William stole?,5.52,1.6443,50,"[5, 5, 2, 4, 5, 7, 5, 6, 1, 7, 5, 7, 3, 6, 6, 5, 7, 7, 7, 7, 5, 7, 6, 5, 7, 7, 6, 6, 2, 7, 6, 7, 6, 7, 7, 7, 5, 5, 5, 2, 3, 6, 6, 7, 7, 2, 6, 7, 6, 4]",test
What did Joseph opine that Jessica wrote?,3.14,1.9796,50,"[3, 3, 4, 3, 2, 6, 4, 4, 3, 1, 1, 7, 2, 1, 3, 6, 2, 4, 5, 4, 4, 5, 1, 6, 3, 3, 4, 1, 2, 7, 1, 7, 4, 1, 2, 1, 1, 2, 4, 2, 1, 3, 6, 1, 1, 1, 1, 1, 6, 7]",test
What did Joseph respect that Charles took?,3.18,1.6622,50,"[3, 4, 3, 2, 2, 3, 1, 5, 1, 1, 7, 4, 2, 1, 5, 2, 3, 7, 3, 3, 3, 6, 3, 4, 1, 3, 6, 2, 2, 7, 1, 2, 3, 6, 2, 5, 3, 2, 3, 1, 1, 3, 4, 5, 3, 3, 3, 3, 4, 3]",test
What did Joseph sneer that David took?,2.52,1.6811,50,"[3, 3, 1, 4, 2, 3, 5, 4, 1, 1, 7, 5, 1, 1, 3, 1, 2, 4, 3, 2, 3, 1, 2, 3, 1, 2, 4, 1, 5, 1, 1, 7, 2, 1, 1, 2, 1, 5, 1, 3, 1, 3, 4, 1, 1, 1, 3, 1, 2, 6]",test
What did Joseph value that Nancy took?,5.52,1.7052,50,"[5, 7, 2, 6, 5, 6, 7, 6, 1, 7, 7, 7, 7, 5, 7, 3, 6, 7, 7, 3, 5, 7, 6, 5, 6, 6, 4, 5, 7, 7, 5, 7, 7, 4, 6, 7, 1, 6, 6, 2, 3, 5, 5, 7, 7, 3, 7, 7, 6, 6]",test
What did Joseph witness that Linda took?,5.1224,1.8101,49,"[5, 6, 6, 5, 3, 7, 7, 7, 1, 1, 7, 5, 7, 6, 5, 6, 7, 7, 6, 7, 3, 5, 2, 5, 7, 7, 5, 6, 3, 7, 1, 7, 5, 3, 5, 5, 7, 5, 5, 2, 5, 5, 5, 7, 3, 7, 3, 6, 4]",test
What did Karen attest that Mary wrote?,4.92,1.7594,50,"[5, 7, 2, 4, 5, 7, 7, 5, 2, 1, 7, 7, 5, 6, 5, 6, 7, 7, 5, 7, 5, 5, 5, 5, 1, 5, 6, 4, 6, 7, 7, 7, 5, 2, 5, 5, 5, 6, 5, 2, 3, 4, 6, 3, 7, 2, 2, 5, 5, 4]",test
What did Karen boom that Patricia took?,2.1,1.5811,50,"[2, 1, 2, 1, 2, 3, 1, 2, 1, 1, 1, 4, 3, 1, 2, 1, 2, 1, 4, 4, 5, 2, 1, 5, 1, 1, 4, 1, 1, 1, 6, 5, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 6, 1, 1, 1, 1, 2, 5, 5]",test
What did Karen guarantee that Richard would steal?,5.8,1.3851,50,"[6, 7, 6, 5, 5, 7, 6, 7, 5, 6, 5, 7, 5, 7, 6, 7, 7, 7, 7, 4, 4, 7, 6, 6, 7, 7, 6, 4, 7, 7, 7, 7, 7, 7, 6, 6, 2, 5, 7, 2, 4, 6, 6, 4, 7, 2, 5, 6, 5, 6]",test
What did Karen hate that Daniel wrote?,5.3,1.8211,50,"[5, 6, 6, 4, 5, 7, 7, 6, 1, 4, 7, 7, 3, 7, 2, 4, 7, 7, 7, 7, 5, 3, 6, 3, 7, 6, 4, 3, 6, 7, 7, 7, 6, 7, 7, 7, 1, 2, 6, 3, 2, 6, 6, 7, 6, 5, 5, 7, 5, 4]",test
What did Karen okay that William wrote?,4.0,1.8371,49,"[3, 6, 1, 5, 5, 4, 7, 5, 2, 5, 7, 7, 2, 1, 4, 3, 6, 4, 4, 4, 6, 3, 5, 5, 5, 5, 1, 5, 1, 1, 7, 6, 4, 5, 3, 3, 3, 2, 1, 2, 6, 5, 5, 6, 4, 1, 2, 5, 4]",test
What did Karen panic that Patricia would steal?,3.28,1.9382,50,"[5, 3, 2, 4, 2, 3, 6, 6, 1, 1, 1, 6, 3, 3, 1, 5, 7, 4, 5, 7, 4, 2, 2, 3, 1, 3, 5, 3, 1, 5, 5, 7, 6, 1, 2, 1, 1, 5, 2, 3, 1, 4, 6, 1, 2, 1, 5, 1, 3, 3]",test
What did Karen voice that Lisa wrote?,3.88,1.9234,50,"[5, 5, 2, 1, 4, 7, 5, 5, 1, 1, 7, 4, 3, 5, 3, 2, 7, 3, 5, 5, 6, 6, 5, 7, 1, 3, 5, 1, 2, 3, 2, 7, 5, 7, 3, 5, 1, 3, 5, 2, 1, 3, 5, 3, 6, 3, 3, 2, 3, 6]",test
What did Linda agonize that Michael wrote?,2.74,1.8049,50,"[1, 3, 5, 1, 5, 3, 4, 2, 4, 1, 1, 5, 2, 3, 1, 2, 2, 1, 5, 7, 6, 3, 2, 2, 5, 2, 3, 4, 1, 1, 1, 1, 7, 1, 1, 3, 2, 1, 5, 1, 1, 2, 5, 1, 4, 1, 1, 2, 5, 5]",test
What did Linda bark that Lisa stole?,2.58,1.5919,50,"[2, 3, 1, 1, 3, 4, 1, 5, 1, 1, 3, 1, 1, 1, 5, 3, 1, 4, 3, 4, 4, 2, 1, 4, 1, 1, 3, 2, 3, 5, 6, 1, 1, 2, 5, 5, 1, 2, 4, 2, 1, 2, 5, 1, 6, 1, 2, 1, 4, 3]",test
What did Linda beam that Christopher stole?,1.88,1.2229,50,"[2, 1, 1, 1, 3, 3, 1, 2, 1, 1, 1, 1, 2, 1, 3, 1, 2, 1, 2, 4, 3, 2, 2, 4, 1, 1, 4, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 1, 1, 3, 5, 1, 3, 1, 2, 1, 6, 4]",test
What did Linda bitch that Patricia wrote?,3.44,1.7861,50,"[5, 3, 1, 4, 4, 3, 3, 3, 1, 1, 5, 7, 2, 4, 1, 5, 3, 7, 3, 5, 3, 1, 2, 5, 2, 6, 5, 3, 5, 1, 5, 6, 4, 6, 3, 3, 4, 4, 3, 1, 1, 5, 6, 1, 5, 2, 3, 1, 1, 5]",test
What did Linda diagnose that Richard took?,2.102,1.5309,49,"[3, 2, 1, 2, 2, 6, 1, 4, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 1, 2, 1, 1, 3, 1, 2, 5, 1, 1, 5, 5, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 3, 4, 1, 5, 2, 2, 6, 5]",test
What did Linda grant that Charles took?,2.82,1.5609,50,"[3, 3, 2, 3, 2, 5, 3, 4, 1, 3, 1, 6, 3, 1, 1, 2, 4, 4, 6, 3, 4, 2, 2, 5, 2, 3, 5, 2, 2, 6, 4, 4, 2, 1, 1, 5, 1, 3, 1, 1, 1, 1, 5, 2, 2, 1, 4, 1, 3, 5]",test
What did Linda hate that Michael took?,5.22,1.5556,50,"[3, 6, 6, 4, 5, 7, 6, 6, 3, 5, 7, 7, 4, 4, 6, 4, 6, 7, 7, 4, 3, 7, 6, 5, 6, 6, 3, 3, 5, 7, 5, 7, 5, 7, 7, 5, 1, 3, 4, 3, 3, 6, 6, 7, 7, 3, 6, 6, 6, 6]",test
