unit,mean,std,n,individual_ratings,item_type
Джо спросил Джейн,4.8,0.4472,5,"[4, 5, 5, 5, 5]",test
Джо спросила Джейн,3.2727,1.6787,11,"[5, 4, 1, 1, 5, 4, 4, 5, 4, 1, 2]",test
Джо спросили Джейн,1.5833,0.5149,12,"[2, 2, 1, 2, 2, 1, 2, 2, 1, 1, 1, 2]",test
Жаклин обманул Ромео,3.3333,1.118,9,"[4, 3, 4, 2, 4, 2, 4, 2, 5]",test
Жаклин обманула Ромео,4.9,0.3162,10,"[5, 5, 5, 5, 4, 5, 5, 5, 5, 5]",test
Жаклин обманули Ромео,1.4286,0.5345,7,"[2, 1, 1, 1, 1, 2, 2]",test
Жаклин позвал Лео,3.0,1.4771,12,"[2, 2, 5, 1, 2, 4, 5, 2, 4, 5, 2, 2]",test
Жаклин позвала Лео,4.375,1.0607,8,"[5, 4, 5, 5, 4, 2, 5, 5]",test
Жаклин позвали Лео,1.4,0.6992,10,"[2, 3, 1, 2, 1, 1, 1, 1, 1, 1]",test
Изабелла обманула Альфреда,4.7143,0.488,7,"[5, 4, 4, 5, 5, 5, 5]",test
Изабелла обманули Альфреда,1.8,1.2293,10,"[1, 2, 1, 2, 2, 1, 1, 1, 5, 2]",test
Изабелла позвала Владимира,4.6,0.8944,5,"[3, 5, 5, 5, 5]",test
Изабелла позвали Владимира,1.3333,0.5164,6,"[1, 1, 1, 1, 2, 2]",test
Изабеллу обманул Альфред,4.2857,1.1127,7,"[5, 5, 5, 2, 4, 4, 5]",test
Изабеллу позвал Владимир,3.4444,1.3333,9,"[5, 5, 1, 4, 2, 4, 3, 3, 4]",test
Кейт забыл Джо,2.8,1.5492,10,"[2, 5, 2, 1, 2, 2, 2, 5, 5, 2]",test
Кейт забыла Джо,4.3,0.9487,10,"[4, 5, 4, 5, 4, 5, 4, 2, 5, 5]",test
Кейт забыли Джо,1.625,0.5175,8,"[2, 2, 2, 2, 1, 1, 1, 2]",test
Кейт испугал Матео,2.3333,1.3663,6,"[1, 5, 2, 2, 2, 2]",test
Кейт испугала Матео,4.5,1.0,4,"[5, 3, 5, 5]",test
Кейт испугали Матео,1.5882,0.7952,17,"[1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 4, 1, 1, 2, 2, 2, 2]",test
Лео узнал Эдит,4.4444,0.7265,9,"[4, 3, 4, 5, 5, 5, 4, 5, 5]",test
Лео узнала Эдит,2.7143,1.6036,7,"[2, 5, 1, 4, 4, 2, 1]",test
Лео узнали Эдит,1.8889,1.0541,9,"[2, 3, 1, 2, 4, 2, 1, 1, 1]",test
Лео услышал Адель,4.2,1.0328,10,"[2, 4, 5, 5, 5, 4, 4, 3, 5, 5]",test
Лео услышала Адель,3.4,1.1738,10,"[2, 3, 4, 4, 2, 3, 5, 5, 4, 2]",test
Лео услышали Адель,1.125,0.3536,8,"[1, 2, 1, 1, 1, 1, 1, 1]",test
Линдси искал Матео,2.8,1.3984,10,"[1, 4, 2, 3, 2, 2, 5, 4, 1, 4]",test
Линдси искала Матео,4.7,0.483,10,"[5, 4, 5, 5, 5, 5, 5, 5, 4, 4]",test
Линдси искали Матео,1.8333,1.169,6,"[2, 1, 2, 1, 1, 4]",test
Линдси обнял Джо,3.3333,1.0328,6,"[2, 2, 4, 4, 4, 4]",test
Линдси обняла Джо,4.6667,0.5,9,"[5, 4, 5, 5, 4, 4, 5, 5, 5]",test
Линдси обняли Джо,1.75,0.9653,12,"[4, 1, 2, 2, 1, 1, 1, 1, 1, 3, 2, 2]",test
Марию заметил Вильям,3.9286,1.2688,14,"[4, 2, 3, 5, 5, 5, 1, 4, 5, 4, 5, 4, 5, 3]",test
Марию обругал Сергей,3.6667,1.0,9,"[3, 3, 5, 4, 3, 2, 4, 4, 5]",test
Мария заметила Вильяма,4.8,0.4216,10,"[5, 4, 5, 5, 5, 5, 4, 5, 5, 5]",test
Мария заметили Вильяма,1.2,0.4472,5,"[1, 1, 1, 1, 2]",test
Мария обругала Сергея,4.2,0.9189,10,"[4, 2, 5, 5, 4, 5, 4, 4, 5, 4]",test
Мария обругали Сергея,1.6667,0.6513,12,"[1, 2, 2, 1, 2, 1, 1, 3, 2, 2, 2, 1]",test
Матео выручил Эдит,4.3333,0.8165,6,"[5, 4, 4, 5, 3, 5]",test
Матео выручила Эдит,2.8889,1.453,9,"[5, 2, 4, 4, 4, 1, 1, 3, 2]",test
Матео выручили Эдит,2.7143,1.7043,7,"[4, 1, 1, 4, 3, 1, 5]",test
Матео привел Адель,4.5556,0.7265,9,"[5, 4, 5, 3, 4, 5, 5, 5, 5]",test
Матео привела Адель,3.8,1.0954,5,"[4, 2, 4, 5, 4]",test
Матео привели Адель,1.8333,0.7528,6,"[2, 2, 1, 2, 3, 1]",test
Надежда искала Джейкоба,4.8182,0.4045,11,"[5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5]",test
Надежда искали Джейкоба,2.0,1.4142,7,"[2, 5, 2, 2, 1, 1, 1]",test
Надежда обняла Бориса,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]",test
Надежда обняли Бориса,2.1818,1.328,11,"[1, 1, 3, 2, 2, 4, 5, 1, 1, 2, 2]",test
Надежду искал Джейкоб,3.0,0.8944,6,"[4, 2, 3, 2, 4, 3]",test
Надежду обнял Борис,3.6667,1.2111,6,"[2, 3, 4, 5, 5, 3]",test
Ольга бросила Арсения,5.0,0.0,6,"[5, 5, 5, 5, 5, 5]",test
Ольга бросили Арсения,2.0,1.3093,8,"[2, 1, 2, 1, 2, 2, 1, 5]",test
Ольга похвалила Брендона,4.5,0.5345,8,"[4, 4, 5, 5, 5, 4, 4, 5]",test
Ольга похвалили Брендона,2.25,1.2817,8,"[1, 1, 2, 3, 2, 2, 5, 2]",test
Ольгу бросил Арсений,4.4286,0.8516,14,"[5, 4, 5, 4, 5, 5, 5, 5, 4, 2, 5, 4, 5, 4]",test
Ольгу похвалил Брендон,4.375,0.5175,8,"[4, 5, 5, 5, 4, 4, 4, 4]",test
Регина подняла Владимира,4.4286,0.5345,7,"[5, 5, 5, 4, 4, 4, 4]",test
Регина подняли Владимира,1.5,0.5345,8,"[1, 1, 2, 1, 2, 1, 2, 2]",test
Регину поднял Владимир,4.0,1.1547,7,"[2, 5, 5, 4, 3, 5, 4]",test
Рейчел увидел Чарли,3.3333,1.6583,9,"[2, 1, 5, 1, 5, 3, 4, 5, 4]",test
Рейчел увидела Чарли,4.3333,1.2111,6,"[2, 5, 4, 5, 5, 5]",test
Рейчел увидели Чарли,1.8,0.7888,10,"[2, 2, 2, 1, 3, 1, 3, 1, 1, 2]",test
Рейчел усыпил Франсуа,3.0,1.291,7,"[2, 4, 2, 2, 2, 4, 5]",test
Рейчел усыпила Франсуа,4.0,1.5,9,"[5, 4, 5, 5, 4, 5, 2, 1, 5]",test
Рейчел усыпили Франсуа,1.8,1.3038,5,"[1, 2, 1, 1, 4]",test
Ромео записал Линдси,4.0,1.0,9,"[4, 5, 5, 5, 5, 3, 3, 3, 3]",test
Ромео записала Линдси,2.4286,1.1339,7,"[2, 2, 1, 4, 4, 2, 2]",test
Ромео записали Линдси,1.3333,0.5164,6,"[1, 1, 1, 2, 1, 2]",test
Ромео обрадовал Джейн,4.1667,0.9374,12,"[4, 3, 5, 5, 5, 5, 4, 5, 2, 4, 4, 4]",test
Ромео обрадовала Джейн,3.0,1.5811,5,"[2, 3, 5, 1, 4]",test
Ромео обрадовали Джейн,1.7,0.483,10,"[2, 2, 2, 1, 1, 2, 1, 2, 2, 2]",test
Саманта забыла Бориса,4.625,0.5175,8,"[5, 4, 5, 4, 5, 5, 5, 4]",test
Саманта забыли Бориса,1.5,0.7559,8,"[1, 2, 1, 1, 1, 1, 2, 3]",test
Саманта испугала Джейкоба,4.2,0.8367,5,"[3, 5, 4, 4, 5]",test
Саманта испугали Джейкоба,1.7,0.6749,10,"[2, 3, 2, 1, 1, 1, 2, 2, 2, 1]",test
Саманту забыл Борис,3.5714,1.1339,7,"[4, 3, 3, 5, 3, 2, 5]",test
Саманту испугал Джейкоб,4.25,0.7071,8,"[5, 4, 4, 5, 4, 5, 3, 4]",test
Сергей полюбил Веру,5.0,0.0,7,"[5, 5, 5, 5, 5, 5, 5]",test
Сергей полюбили Веру,1.6,0.5164,10,"[2, 2, 2, 1, 1, 2, 1, 2, 1, 2]",test
Сергей ударил Изабеллу,4.4444,0.527,9,"[4, 4, 4, 5, 4, 5, 4, 5, 5]",test
Сергей ударили Изабеллу,1.4444,0.7265,9,"[1, 1, 3, 2, 1, 1, 2, 1, 1]",test
Сергея полюбила Вера,3.4,1.075,10,"[3, 3, 4, 3, 2, 3, 5, 5, 2, 4]",test
Сергея ударила Изабелла,3.4444,1.236,9,"[2, 4, 3, 4, 1, 4, 4, 5, 4]",test
Скарлет заметил Бруно,3.4,0.8944,5,"[4, 3, 4, 2, 4]",test
Скарлет заметила Бруно,4.5455,0.6876,11,"[5, 5, 5, 4, 5, 5, 3, 4, 5, 5, 4]",test
Скарлет заметили Бруно,1.2,0.4472,5,"[1, 2, 1, 1, 1]",test
Скарлет обругал Тео,2.5,1.1952,8,"[4, 3, 1, 2, 3, 1, 4, 2]",test
Скарлет обругала Тео,4.5714,0.5345,7,"[5, 5, 5, 4, 4, 5, 4]",test
Скарлет обругали Тео,2.0,2.0,4,"[5, 1, 1, 1]",test
Тео полюбил Рейчел,4.2,0.4472,5,"[4, 4, 4, 4, 5]",test
Тео полюбила Рейчел,3.3333,1.3027,12,"[4, 4, 3, 4, 5, 2, 2, 5, 2, 4, 1, 4]",test
Тео полюбили Рейчел,2.6667,1.3663,6,"[3, 1, 3, 2, 5, 2]",test
Тео ударил Жаклин,4.2857,0.9512,7,"[5, 5, 4, 5, 5, 3, 3]",test
Тео ударила Жаклин,4.1429,0.378,7,"[4, 5, 4, 4, 4, 4, 4]",test
Тео ударили Жаклин,2.1111,1.453,9,"[2, 1, 2, 1, 1, 1, 5, 2, 4]",test
Франсуа поздравил Кейт,4.9167,0.2887,12,"[5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5]",test
Франсуа поздравила Кейт,2.8571,1.215,7,"[2, 5, 4, 3, 2, 2, 2]",test
Франсуа поздравили Кейт,1.0,0.0,2,"[1, 1]",test
Франсуа покинул Скарлет,4.8333,0.3892,12,"[5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5]",test
Франсуа покинула Скарлет,3.4,1.5055,10,"[2, 5, 5, 4, 2, 5, 2, 5, 2, 2]",test
Франсуа покинули Скарлет,1.4286,0.7868,7,"[1, 1, 2, 1, 1, 1, 3]",test
Хлою понял Вильям,3.25,1.5,4,"[4, 1, 4, 4]",test
Хлою рассердил Сергей,4.2,0.9189,10,"[5, 5, 4, 4, 4, 5, 2, 4, 5, 4]",test
Хлоя поняла Вильяма,4.6364,0.5045,11,"[4, 5, 4, 4, 5, 5, 5, 5, 4, 5, 5]",test
Хлоя поняли Вильяма,1.4167,0.5149,12,"[1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 2, 2]",test
Хлоя рассердила Сергея,4.3333,1.118,9,"[5, 5, 5, 5, 4, 5, 2, 3, 5]",test
Хлоя рассердили Сергея,2.0,1.7321,5,"[1, 1, 5, 2, 1]",test
Чарли разлюбил Жаклин,4.8571,0.378,7,"[5, 4, 5, 5, 5, 5, 5]",test
Чарли разлюбила Жаклин,2.3,1.3375,10,"[4, 2, 1, 1, 3, 5, 2, 2, 1, 2]",test
Чарли разлюбили Жаклин,2.0,1.0,9,"[1, 2, 3, 2, 4, 1, 1, 2, 2]",test
Эдит поднял Лео,4.0,1.2472,10,"[4, 4, 4, 1, 5, 5, 3, 4, 5, 5]",test
Эдит подняла Лео,4.0,1.1547,10,"[4, 5, 2, 5, 4, 2, 4, 5, 4, 5]",test
Эдит подняли Лео,2.125,1.2464,8,"[2, 2, 1, 2, 1, 1, 4, 4]",test
